id,year,sid,post,l_exp_pubwelfare,l_police,l_income,unemployrt,poverty,blackm_15_24,whitem_15_24,popwt
575,,6,0,6.774673654393793,5.495337603419084,10.821629618279028,4.138185022142367,11.203561011683677,,,
277,2002,27,0,6.80721,5.7236457,10.650625,4.5,14.261344559664565,0.75447637,12.723339,921333.75
104,2005,11,0,7.0772657,5.788776,10.84529,5.1,14.413201828062624,0.04859915,0.29849878,8871351.0
177,2001,18,0,7.218498,5.5306563,10.765047,5.2,14.815131682859562,3.2692654,5.064819,4105912.0
456,2005,43,0,7.4870872,6.031345,10.692172,5.5,15.560261522495994,3.8876603,13.213633,5885931.5
287,2001,28,0,7.0184655,5.608084,10.8913355,3.1,9.420480781146043,0.62753475,4.4938636,1725508.9
528,2000,50,0,6.7609277,5.7784295,10.952332,3.4,8.26959299055613,0.5037524,6.2465568,5434086.5
443,2003,42,0,6.909574,5.62602,10.75477,3.6,12.590892215805011,11.001715,40.511105,761746.56
167,2002,17,0,6.817905,5.9372034,10.8523035,5.1,10.085827459775972,1.0516597,9.72081,2702063.2
248,2006,24,0,7.409875,5.541483,11.015115,4.0,9.425865683678332,1.8674881,2.318418,5031185.0
538,2010,50,0,7.2924576,5.836951,10.830164,8.1,11.80243864,0.5949604,5.7563305,5434086.5
181,2005,18,0,7.3084254,5.5285726,10.62101,6.0,16.856365185026583,3.3033044,4.833228,4105912.0
131,2010,13,0,7.0466056,5.6328263,10.758201,9.2,14.04863126,10.176039,39.220448,1401675.9
182,2006,18,0,7.299884,5.49044,10.661931,5.7,16.520536728550187,2.8613381,4.426218,4105912.0
414,2007,39,0,7.392479,5.4745626,10.838286,4.3,11.231970043607111,0.04164194,0.4613111,12172547.0
110,2000,12,0,7.0147877,5.7291813,11.086181,4.0,10.066467929117886,0.055708885,7.6047306,1248183.9
204,2006,20,0,7.619421,5.4023724,10.806835,4.6,12.355948285907562,9.381313,16.26621,1289211.6
439,2010,41,1,7.190487,5.7235656,10.638473,11.3,16.53789691,0.024797946,1.0473152,4183317.2
86,2009,8,0,7.4862185,5.891621,10.877557,8.1,11.160619194473,1.7311237,4.312644,822992.0
416,2009,39,0,7.402974,5.4626746,10.798902,8.2,12.122680958944429,0.041936323,0.45015433,12172547.0
541,2002,51,0,6.8411293,6.016753,10.7829275,4.2,10.734624087056782,0.11942256,7.228056,504780.2
101,2002,11,0,7.0380735,5.768584,10.859768,4.8,13.297809542373871,0.045458633,0.28455785,8871351.0
2,2002,1,0,7.0387506,5.7413816,10.727071,5.4,15.55655881018374,2.258261,4.685461,4499293.0
551,2005,38,,,,,5.913311797309779,17.21059929790332,,,
70,2004,7,0,7.3159833,5.6567216,11.060385,4.9,9.282212065969944,0.8027478,4.687529,3424474.2
