id,homicide,murder,robbery,assault,burglary,larceny
0,7.5939784,6.5322065,131.61357,325.6178,930.92017,2940.6238
1,8.713443,7.4949403,128.3796,281.63504,934.3846,2758.69
2,6.9332876,6.4069986,136.42331,274.6314,974.2757,2835.829
3,6.8180065,6.567177,137.6827,258.537,986.10266,2828.4238
4,5.7536893,5.595123,136.86531,255.65407,1011.7885,2800.9592
5,8.418573,6.932943,145.1191,254.2004,978.55786,2718.7039
6,8.001687,6.784039,153.42366,227.87415,968.9217,2645.123
7,8.54794,7.653896,161.40779,248.34819,989.11884,2711.616
8,7.718328,7.264309,158.77704,254.89941,1089.1923,2734.0825
9,6.9496,6.86327,135.21504,282.79694,1054.181,2548.302
10,5.7427597,4.606829,100.15121,245.55031,884.21674,2428.7456
11,4.443837,3.9500775,80.647415,418.04987,641.723,2771.3086
12,6.335993,5.523686,83.505135,435.5589,624.98883,2712.2922
13,5.286327,5.4465184,78.33375,415.53732,626.02924,2841.6409
14,6.192127,6.192127,70.81253,442.49896,615.08466,2866.0024
15,5.8179483,5.6607065,70.28711,490.12286,593.2735,2540.871
16,4.9865675,4.9865675,83.68083,481.0479,643.7347,2687.9158
17,5.3727093,5.2234674,89.39591,516.07855,615.17523,2588.452
18,6.5013933,6.3536344,85.847946,496.6178,544.19617,2504.514
19,3.96339,3.96339,94.534195,493.66223,474.43246,2236.3796
20,3.220414,3.220414,95.73412,473.54724,526.9768,2232.4788
21,4.4278564,4.4278564,84.843445,482.63638,443.49985,2218.9275
22,7.1502805,7.2299495,149.45879,355.34305,1033.7434,3519.4717
23,7.6960464,7.657566,170.62134,344.18643,1054.7623,3595.0156
24,7.238223,7.182113,149.62735,377.3602,1105.1289,3769.5059
25,8.060915,8.042636,139.26556,342.21417,1071.3705,3632.4385
26,7.3482466,7.2949986,137.04303,335.83618,1009.67395,3177.3535
27,7.633144,7.290081,147.15672,333.59412,966.20166,3020.8726
28,8.530212,8.513995,153.5276,344.3546,953.04846,2874.1462
29,8.923674,8.61484,158.57806,325.4784,963.7242,2864.8242
30,7.156422,7.09337,153.80003,297.44867,916.227,2669.4087
31,6.0080333,5.9764123,129.63123,273.04932,858.6428,2466.0764
32,6.4452577,6.382223,109.317245,261.18265,800.0787,2420.7378
33,6.462801,6.462801,76.97658,341.87448,824.89197,2682.8318
34,5.6528745,5.385509,83.30351,342.57184,847.7784,2657.9968
35,5.389305,5.199541,95.793,306.69702,881.6068,2699.5486
36,6.792294,5.99986,84.03577,344.55798,943.9779,2568.2795
37,6.5772953,6.203585,88.644,376.81174,1126.7728,2774.4973
38,6.996292,6.7001524,93.7281,397.8262,1114.8906,2795.1853
39,7.5065675,7.2575345,98.97285,404.03833,1154.446,2596.7031
40,7.1648736,6.986643,110.53867,374.6409,1136.185,2601.6333
41,5.7949567,5.7242866,97.383545,357.8386,1193.337,2455.1536
42,6.306941,6.0250664,90.76357,379.54395,1224.4978,2403.9663
43,4.7624454,4.5553827,81.85884,376.6128,1121.97,2268.0283
44,6.2901087,6.2901087,182.28607,418.78992,672.5575,1972.2168
45,6.5495877,6.5495877,191.8382,404.04068,689.6158,2071.5789
46,6.9839587,6.9839587,189.45045,381.4991,695.2699,2086.9993
47,6.9464707,6.9406986,184.03674,373.3836,699.1895,2111.0286
48,6.8235188,6.826371,176.20197,329.19485,701.47314,2078.6829
49,7.0949187,7.0949187,180.34076,325.0142,710.11835,1962.8435
50,6.829861,6.8134036,194.95003,306.178,676.9051,1831.5
51,6.2319956,6.2319956,194.521,301.14603,653.57916,1798.2561
52,5.881626,5.881626,190.5213,287.6093,652.75616,1786.2158
53,5.431231,5.431231,176.52327,275.84705,634.0053,1694.9242
54,4.8929396,4.8929396,157.19075,259.32578,619.0069,1624.3748
55,3.1917636,3.0250297,72.26724,224.49532,646.2845,2687.8223
56,3.6618795,3.3374093,82.392296,228.2649,661.29376,2812.6943
57,4.0648017,3.8831344,81.27332,228.40097,719.3563,2842.9314
58,4.1592736,3.8445177,84.03981,223.04948,728.30005,2798.9888
59,4.4680457,4.4013586,83.11454,249.76598,733.78204,2741.024
60,3.7919936,3.6385603,86.53636,270.72205,761.5989,2796.913
61,3.5974424,3.5974424,80.363914,265.43234,681.9993,2325.0837
62,3.251411,3.251411,72.60086,238.21306,600.1895,2101.901
63,3.2201014,3.1375346,69.5418,237.58568,582.5494,2053.1863
64,3.2829459,3.241651,69.602585,231.72643,549.9864,1963.1398
65,2.4143252,2.5551608,63.013885,214.9353,526.18207,1963.4901
66,2.971835,2.971835,116.20481,195.59526,528.744,2077.1914
67,3.165386,3.1955326,126.10295,197.91199,517.28436,1982.4963
68,2.5072045,2.477357,121.45018,176.51913,510.7235,1932.1891
69,3.3222187,3.2332308,124.939156,178.65825,475.87817,1944.9218
70,2.9503024,2.8617933,123.55867,149.58034,470.83878,1969.917
71,3.0930104,3.0340958,115.85533,141.1591,449.07565,1897.5177
72,3.9089148,3.9089148,126.91134,148.02519,442.56335,1839.815
